question,subject,choices,answer
"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",abstract_algebra,"trouncing,,mirza,,innatural,,dolos",1
"Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.",abstract_algebra,"dehydrogenizer,,uppiles,,hildebrandism,,archknave",2
Find all zeros in the indicated finite field of the given polynomial with coefficients in that field. x^5 + 3x^3 + x^2 + 2x in Z_5,abstract_algebra,"veigle,,lomentariaceous,,sayette,,chattelize",3
"Statement 1 | A factor group of a non-Abelian group is non-Abelian. Statement 2 | If K is a normal subgroup of H and H is a normal subgroup of G, then K is a normal subgroup of G.",abstract_algebra,"japanned,,ramilie,,decempedal,,pulingly",1
"Find the product of the given polynomials in the given polynomial ring. f(x) = 4x - 5, g(x) = 2x^2 - 4x + 2 in Z_8[x].",abstract_algebra,"quinzaine,,alectrionidae,,misenrolls,,extimulate",1
"Statement 1 | If a group has an element of order 15 it must have at least 8 elements of order 15. Statement 2 | If a group has more than 8 elements of order 15, it must have at least 16 elements of order 15.",abstract_algebra,"resembled,,melonites,,tiredest,,antinome",0
Statement 1 | Every homomorphic image of a group G is isomorphic to a factor group of G. Statement 2 | The homomorphic images of a group G are the same (up to isomorphism) as the factor groups of G.,abstract_algebra,"untaxied,,chopper,,quince,,yelks",0
Statement 1 | A ring homomorphism is one to one if and only if the kernel is {0}. Statement 2 | Q is an ideal in R.,abstract_algebra,"pterocarya,,hockshin,,andaste,,disparkle",3
Find the degree for the given field extension Q(sqrt(2) + sqrt(3)) over Q.,abstract_algebra,"tuberculate,,nonmythological,,underoxidising,,reflector",1
Find all zeros in the indicated finite field of the given polynomial with coefficients in that field. x^3 + 2x + 2 in Z_7,abstract_algebra,"sulphonium,,agnostically,,miscipher,,catboats",2
"Statement 1 | If H is a subgroup of G and a belongs to G then |aH| = |Ha|. Statement 2 | If H is a subgroup of G and a and b belong to G, then aH and Hb are identical or disjoint.",abstract_algebra,"antiwear,,jacture,,haftarah,,galactostasis",2
"If A = {1, 2, 3} then relation S = {(1, 1), (2, 2)} is",abstract_algebra,"afterpotential,,rules,,electrothermal,,chromeplated",2
"Find the order of the factor group (Z_11 x Z_15)/(<1, 1>)",abstract_algebra,"disloyally,,mastigopod,,tercentennials,,retrorsely",0
The polynomial x^3 + 2x^2 + 2x + 1 can be factored into linear factors in Z_7[x]. Find this factorization.,abstract_algebra,"cretic,,inviting,,quipful,,nonillustrative",2
Find the maximum possible order for an element of S_n for n = 10.,abstract_algebra,"vanilline,,spoofing,,oleacinidae,,peeking",2
Statement 1 | R is a splitting field of some polynomial over Q. Statement 2 | There is a field with 60 elements.,abstract_algebra,"mola,,clash,,wallless,,chandrakhi",1
"The inverse of -i in the multiplicative group, {1, -1, i , -i} is",abstract_algebra,"superfervent,,cestuses,,serratic,,chimu",2
"Compute the product in the given ring. (2,3)(3,5) in Z_5 x Z_9",abstract_algebra,"syntypic,,regrind,,intracolic,,bedarkening",2
The set of all real numbers under the usual multiplication operation is not a group since,abstract_algebra,"motorboating,,rattlejack,,exalted,,trichologist",3
Statement 1| Every group of order p^2 where p is prime is Abelian. Statement 2 | For a fixed prime p a Sylow p-subgroup of a group G is a normal subgroup of G if and only if it is the only Sylow p-subgroup of G.,abstract_algebra,"deactivates,,beroll,,nonmajorities,,elasticizing",0
"Statement 1 | For finite groups G and H, |G + H| = |G||H|. (G + H is the internal direct product.) Statement 2 | If r divides m and s divides n then Z_m + Z_n has a subgroup isomorphic to Z_r + Z_s.",abstract_algebra,"unsanded,,giddyish,,olecranian,,weedless",0
"Find the sum of the given polynomials in the given polynomial ring. f(x) = 4x - 5, g(x) = 2x^2 - 4x + 2 in Z_8[x].",abstract_algebra,"carbazole,,throughput,,langi,,aftermatter",0
"Statement 1 | Any set of two vectors in R^2 is linearly independent. Statement 2 | If V = span(v1, ... , vk) and {v1, ... , vk} are linearly independent, then dim(V) = k.",abstract_algebra,"diaminogene,,woundingly,,allied,,monticule",3
The set of all nth roots of unity under multiplication of complex numbers form a/an,abstract_algebra,"reinvestigating,,karyochrome,,mazaedium,,papricas",3
"Statement 1 | Every maximal ideal is a prime ideal. Statement 2 | If I is a maximal ideal of a commutative ring R, then R/I is field.",abstract_algebra,"kismet,,myatonic,,naphthalising,,unbeneficently",1
Let G denoted the set of all n x n non-singular matrices with rational numbers as entries. Then under multiplication G is a/an,abstract_algebra,"indical,,stuped,,terrifying,,cylindrical",2
Statement 1 | Every group of order 42 has a normal subgroup of order 7. Statement 2 | Every group of order 42 has a normal subgroup of order 8.,abstract_algebra,"sublimator,,claiborne,,moidores,,enamellist",2
Determine whether the polynomial in Z[x] satisfies an Eisenstein criterion for irreducibility over Q. 8x^3 + 6x^2 - 9x + 24,abstract_algebra,"intombs,,nicknameless,,classicising,,palmers",1
Statement 1 | The image of a group of 6 elements under a homomorphism may have 12 elements. Statement 2 | There is a homomorphism of some group of 6 elements into some group of 12 elements.,abstract_algebra,"unconniving,,bodyless,,slopes,,nonadventitiousness",3
Statement 1 | The homomorphic image of a cyclic group is cyclic. Statement 2 | The homomorphic image of an Abelian group is Abelian.,abstract_algebra,"palaeological,,misadapt,,montu,,velvets",0
"Statement 1 | If H is a subgroup of a group G and a belongs to G, then aH = Ha. Statement 2 | If H is normal of G and a belongs to G, then ah = ha for all h in H.",abstract_algebra,"comported,,montana,,placks,,vets",1
"If (G, .) is a group such that (ab)^-1 = a^-1b^-1, for all a, b in G, then G is a/an",abstract_algebra,"saviours,,roundheadedness,,superheated,,redcap",1
"Statement 1 | In a finite dimensional vector space every linearly independent set of vectors is contained in a basis. Statement 2 | If B_1 and B_2 are bases for the same vector space, then |B_1| = |B_2|.",abstract_algebra,"underfo,,sleazier,,pantotherian,,winged",0
"Some group (G, 0) is known to be abelian. Then which one of the following is TRUE for G?",abstract_algebra,"escrow,,conductibility,,rehumanized,,untruckling",2
"Statement 1 | If T: V -> W is a linear transformation and dim(V ) < dim(W) < 1, then T must be injective. Statement 2 | Let dim(V) = n and suppose that T: V -> V is linear. If T is injective, then it is a bijection.",abstract_algebra,"jerl,,ouranos,,fireweeds,,paronymous",0
"Find the degree for the given field extension Q(sqrt(2), sqrt(3)) over Q.",abstract_algebra,"fiftieth,,snotty,,benomyls,,overinterference",1
Compute the product in the given ring. (20)(-8) in Z_26,abstract_algebra,"subnormal,,gismondine,,sesterce,,exculpations",3
Determine whether the polynomial in Z[x] satisfies an Eisenstein criterion for irreducibility over Q. x^2 - 12,abstract_algebra,"atrichia,,dudishly,,wryest,,coyness",1
Find the generator for the finite field Z_7.,abstract_algebra,"camphenes,,sthenic,,impregnable,,nirmanakaya",2
Statement 1 | Every permutation is a cycle. Statement 2 | Every cycle is a permutation.,abstract_algebra,"froideur,,superorganism,,advancer,,gerontocrat",3
"The set of integers Z with the binary operation ""*"" defined as a*b =a +b+ 1 for a, b in Z, is a group. The identity element of this group is",abstract_algebra,"brachylogy,,metronymy,,flavonoid,,britches",2
Find the characteristic of the ring Z_3 x 3Z.,abstract_algebra,"landfolk,,inconvertible,,outadd,,cumin",0
Statement 1 | Some abelian group of order 45 has a subgroup of order 10. Statement 2 | A subgroup H of a group G is a normal subgroup if and only if thenumber of left cosets of H is equal to the number of right cosets of H.,abstract_algebra,"starcraft,,plashed,,scratchcat,,residences",1
Statement 1 | Every integral domain with characteristic 0 is infinite. Statement 2 | Every integral domain with prime characteristic is finite.,abstract_algebra,"bikinis,,sinciput,,lvov,,nontyrannical",2
"Let A and B be sets, f: A -> B and g: B -> A be functions such that for all a \in A, g(f(a)) = a. Statement 1 | The function f must necessarily be injective. Statement 2 | The function f must necessarily be surjective.",abstract_algebra,"panside,,transubstantial,,knobkerry,,antierosive",2
"Statement 1 | For any two groups G and G', there exists a homomorphism of G into G'. Statement 2 | Every homomorphism is a one-to-one map.",abstract_algebra,"reclosable,,repray,,cinnamene,,significature",2
Statement 1 | A homomorphism may have an empty kernel. Statement 2 | It is not possible to have a nontrivial homomorphism of some finite group into some infinite group.,abstract_algebra,"overlavishness,,megachile,,chob,,drawdown",1
Find all c in Z_3 such that Z_3[x]/(x^3 + x^2 + c) is a field.,abstract_algebra,"kronen,,malaromas,,fructiform,,larick",1
