question,subject,choices,answer
A lesion causing compression of the facial nerve at the stylomastoid foramen will cause ipsilateral,anatomy,"[paralysis of the facial muscles.,, paralysis of the facial muscles and loss of taste.,, paralysis of the facial muscles, loss of taste and lacrimation.,, paralysis of the facial muscles, loss of taste, lacrimation and decreased salivation.]",0
A lesion causing compression of the facial nerve at the stylomastoid foramen will cause ipsilateral,anatomy,"[paralysis of the facial muscles.,, paralysis of the facial muscles and loss of taste.,, paralysis of the facial muscles, loss of taste, lacrimation and decreased salivation.,, paralysis of the facial muscles, loss of taste and lacrimation.]",0
A lesion causing compression of the facial nerve at the stylomastoid foramen will cause ipsilateral,anatomy,"[paralysis of the facial muscles.,, paralysis of the facial muscles, loss of taste and lacrimation.,, paralysis of the facial muscles and loss of taste.,, paralysis of the facial muscles, loss of taste, lacrimation and decreased salivation.]",0
A lesion causing compression of the facial nerve at the stylomastoid foramen will cause ipsilateral,anatomy,"[paralysis of the facial muscles.,, paralysis of the facial muscles, loss of taste and lacrimation.,, paralysis of the facial muscles, loss of taste, lacrimation and decreased salivation.,, paralysis of the facial muscles and loss of taste.]",0
A lesion causing compression of the facial nerve at the stylomastoid foramen will cause ipsilateral,anatomy,"[paralysis of the facial muscles.,, paralysis of the facial muscles, loss of taste, lacrimation and decreased salivation.,, paralysis of the facial muscles and loss of taste.,, paralysis of the facial muscles, loss of taste and lacrimation.]",0
A lesion causing compression of the facial nerve at the stylomastoid foramen will cause ipsilateral,anatomy,"[paralysis of the facial muscles.,, paralysis of the facial muscles, loss of taste, lacrimation and decreased salivation.,, paralysis of the facial muscles, loss of taste and lacrimation.,, paralysis of the facial muscles and loss of taste.]",0
A lesion causing compression of the facial nerve at the stylomastoid foramen will cause ipsilateral,anatomy,"[paralysis of the facial muscles and loss of taste.,, paralysis of the facial muscles.,, paralysis of the facial muscles, loss of taste and lacrimation.,, paralysis of the facial muscles, loss of taste, lacrimation and decreased salivation.]",1
A lesion causing compression of the facial nerve at the stylomastoid foramen will cause ipsilateral,anatomy,"[paralysis of the facial muscles and loss of taste.,, paralysis of the facial muscles.,, paralysis of the facial muscles, loss of taste, lacrimation and decreased salivation.,, paralysis of the facial muscles, loss of taste and lacrimation.]",1
A lesion causing compression of the facial nerve at the stylomastoid foramen will cause ipsilateral,anatomy,"[paralysis of the facial muscles and loss of taste.,, paralysis of the facial muscles, loss of taste and lacrimation.,, paralysis of the facial muscles.,, paralysis of the facial muscles, loss of taste, lacrimation and decreased salivation.]",2
A lesion causing compression of the facial nerve at the stylomastoid foramen will cause ipsilateral,anatomy,"[paralysis of the facial muscles and loss of taste.,, paralysis of the facial muscles, loss of taste and lacrimation.,, paralysis of the facial muscles, loss of taste, lacrimation and decreased salivation.,, paralysis of the facial muscles.]",3
A lesion causing compression of the facial nerve at the stylomastoid foramen will cause ipsilateral,anatomy,"[paralysis of the facial muscles and loss of taste.,, paralysis of the facial muscles, loss of taste, lacrimation and decreased salivation.,, paralysis of the facial muscles.,, paralysis of the facial muscles, loss of taste and lacrimation.]",2
A lesion causing compression of the facial nerve at the stylomastoid foramen will cause ipsilateral,anatomy,"[paralysis of the facial muscles and loss of taste.,, paralysis of the facial muscles, loss of taste, lacrimation and decreased salivation.,, paralysis of the facial muscles, loss of taste and lacrimation.,, paralysis of the facial muscles.]",3
