question,subject,choices,answer
"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",abstract_algebra,"[trouncing,, mirza,, innatural,, dolos]",1
"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",abstract_algebra,"[trouncing,, mirza,, dolos,, innatural]",1
"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",abstract_algebra,"[trouncing,, innatural,, mirza,, dolos]",1
"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",abstract_algebra,"[trouncing,, innatural,, dolos,, mirza]",1
"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",abstract_algebra,"[trouncing,, dolos,, mirza,, innatural]",1
"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",abstract_algebra,"[trouncing,, dolos,, innatural,, mirza]",1
"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",abstract_algebra,"[mirza,, trouncing,, innatural,, dolos]",1
"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",abstract_algebra,"[mirza,, trouncing,, dolos,, innatural]",1
"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",abstract_algebra,"[mirza,, innatural,, trouncing,, dolos]",1
"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",abstract_algebra,"[mirza,, innatural,, dolos,, trouncing]",1
"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",abstract_algebra,"[mirza,, dolos,, trouncing,, innatural]",1
"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",abstract_algebra,"[mirza,, dolos,, innatural,, trouncing]",1
"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",abstract_algebra,"[innatural,, trouncing,, mirza,, dolos]",1
"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",abstract_algebra,"[innatural,, trouncing,, dolos,, mirza]",1
"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",abstract_algebra,"[innatural,, mirza,, trouncing,, dolos]",1
"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",abstract_algebra,"[innatural,, mirza,, dolos,, trouncing]",1
"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",abstract_algebra,"[innatural,, dolos,, trouncing,, mirza]",1
"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",abstract_algebra,"[innatural,, dolos,, mirza,, trouncing]",1
"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",abstract_algebra,"[dolos,, trouncing,, mirza,, innatural]",1
"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",abstract_algebra,"[dolos,, trouncing,, innatural,, mirza]",1
"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",abstract_algebra,"[dolos,, mirza,, trouncing,, innatural]",1
"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",abstract_algebra,"[dolos,, mirza,, innatural,, trouncing]",1
"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",abstract_algebra,"[dolos,, innatural,, trouncing,, mirza]",1
"Find the degree for the given field extension Q(sqrt(2), sqrt(3), sqrt(18)) over Q.",abstract_algebra,"[dolos,, innatural,, mirza,, trouncing]",1
"Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.",abstract_algebra,"[dehydrogenizer,, uppiles,, hildebrandism,, archknave]",2
"Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.",abstract_algebra,"[dehydrogenizer,, uppiles,, archknave,, hildebrandism]",2
"Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.",abstract_algebra,"[dehydrogenizer,, hildebrandism,, uppiles,, archknave]",2
"Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.",abstract_algebra,"[dehydrogenizer,, hildebrandism,, archknave,, uppiles]",2
"Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.",abstract_algebra,"[dehydrogenizer,, archknave,, uppiles,, hildebrandism]",2
"Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.",abstract_algebra,"[dehydrogenizer,, archknave,, hildebrandism,, uppiles]",2
"Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.",abstract_algebra,"[uppiles,, dehydrogenizer,, hildebrandism,, archknave]",2
"Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.",abstract_algebra,"[uppiles,, dehydrogenizer,, archknave,, hildebrandism]",2
"Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.",abstract_algebra,"[uppiles,, hildebrandism,, dehydrogenizer,, archknave]",2
"Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.",abstract_algebra,"[uppiles,, hildebrandism,, archknave,, dehydrogenizer]",2
"Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.",abstract_algebra,"[uppiles,, archknave,, dehydrogenizer,, hildebrandism]",2
"Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.",abstract_algebra,"[uppiles,, archknave,, hildebrandism,, dehydrogenizer]",2
"Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.",abstract_algebra,"[hildebrandism,, dehydrogenizer,, uppiles,, archknave]",2
"Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.",abstract_algebra,"[hildebrandism,, dehydrogenizer,, archknave,, uppiles]",2
"Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.",abstract_algebra,"[hildebrandism,, uppiles,, dehydrogenizer,, archknave]",2
"Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.",abstract_algebra,"[hildebrandism,, uppiles,, archknave,, dehydrogenizer]",2
"Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.",abstract_algebra,"[hildebrandism,, archknave,, dehydrogenizer,, uppiles]",2
"Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.",abstract_algebra,"[hildebrandism,, archknave,, uppiles,, dehydrogenizer]",2
"Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.",abstract_algebra,"[archknave,, dehydrogenizer,, uppiles,, hildebrandism]",2
"Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.",abstract_algebra,"[archknave,, dehydrogenizer,, hildebrandism,, uppiles]",2
"Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.",abstract_algebra,"[archknave,, uppiles,, dehydrogenizer,, hildebrandism]",2
"Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.",abstract_algebra,"[archknave,, uppiles,, hildebrandism,, dehydrogenizer]",2
"Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.",abstract_algebra,"[archknave,, hildebrandism,, dehydrogenizer,, uppiles]",2
"Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.",abstract_algebra,"[archknave,, hildebrandism,, uppiles,, dehydrogenizer]",2
Find all zeros in the indicated finite field of the given polynomial with coefficients in that field. x^5 + 3x^3 + x^2 + 2x in Z_5,abstract_algebra,"[veigle,, lomentariaceous,, sayette,, chattelize]",3
Find all zeros in the indicated finite field of the given polynomial with coefficients in that field. x^5 + 3x^3 + x^2 + 2x in Z_5,abstract_algebra,"[veigle,, lomentariaceous,, chattelize,, sayette]",3
Find all zeros in the indicated finite field of the given polynomial with coefficients in that field. x^5 + 3x^3 + x^2 + 2x in Z_5,abstract_algebra,"[veigle,, sayette,, lomentariaceous,, chattelize]",3
Find all zeros in the indicated finite field of the given polynomial with coefficients in that field. x^5 + 3x^3 + x^2 + 2x in Z_5,abstract_algebra,"[veigle,, sayette,, chattelize,, lomentariaceous]",3
Find all zeros in the indicated finite field of the given polynomial with coefficients in that field. x^5 + 3x^3 + x^2 + 2x in Z_5,abstract_algebra,"[veigle,, chattelize,, lomentariaceous,, sayette]",3
Find all zeros in the indicated finite field of the given polynomial with coefficients in that field. x^5 + 3x^3 + x^2 + 2x in Z_5,abstract_algebra,"[veigle,, chattelize,, sayette,, lomentariaceous]",3
Find all zeros in the indicated finite field of the given polynomial with coefficients in that field. x^5 + 3x^3 + x^2 + 2x in Z_5,abstract_algebra,"[lomentariaceous,, veigle,, sayette,, chattelize]",3
Find all zeros in the indicated finite field of the given polynomial with coefficients in that field. x^5 + 3x^3 + x^2 + 2x in Z_5,abstract_algebra,"[lomentariaceous,, veigle,, chattelize,, sayette]",3
Find all zeros in the indicated finite field of the given polynomial with coefficients in that field. x^5 + 3x^3 + x^2 + 2x in Z_5,abstract_algebra,"[lomentariaceous,, sayette,, veigle,, chattelize]",3
Find all zeros in the indicated finite field of the given polynomial with coefficients in that field. x^5 + 3x^3 + x^2 + 2x in Z_5,abstract_algebra,"[lomentariaceous,, sayette,, chattelize,, veigle]",3
Find all zeros in the indicated finite field of the given polynomial with coefficients in that field. x^5 + 3x^3 + x^2 + 2x in Z_5,abstract_algebra,"[lomentariaceous,, chattelize,, veigle,, sayette]",3
Find all zeros in the indicated finite field of the given polynomial with coefficients in that field. x^5 + 3x^3 + x^2 + 2x in Z_5,abstract_algebra,"[lomentariaceous,, chattelize,, sayette,, veigle]",3
Find all zeros in the indicated finite field of the given polynomial with coefficients in that field. x^5 + 3x^3 + x^2 + 2x in Z_5,abstract_algebra,"[sayette,, veigle,, lomentariaceous,, chattelize]",3
Find all zeros in the indicated finite field of the given polynomial with coefficients in that field. x^5 + 3x^3 + x^2 + 2x in Z_5,abstract_algebra,"[sayette,, veigle,, chattelize,, lomentariaceous]",3
Find all zeros in the indicated finite field of the given polynomial with coefficients in that field. x^5 + 3x^3 + x^2 + 2x in Z_5,abstract_algebra,"[sayette,, lomentariaceous,, veigle,, chattelize]",3
Find all zeros in the indicated finite field of the given polynomial with coefficients in that field. x^5 + 3x^3 + x^2 + 2x in Z_5,abstract_algebra,"[sayette,, lomentariaceous,, chattelize,, veigle]",3
Find all zeros in the indicated finite field of the given polynomial with coefficients in that field. x^5 + 3x^3 + x^2 + 2x in Z_5,abstract_algebra,"[sayette,, chattelize,, veigle,, lomentariaceous]",3
Find all zeros in the indicated finite field of the given polynomial with coefficients in that field. x^5 + 3x^3 + x^2 + 2x in Z_5,abstract_algebra,"[sayette,, chattelize,, lomentariaceous,, veigle]",3
Find all zeros in the indicated finite field of the given polynomial with coefficients in that field. x^5 + 3x^3 + x^2 + 2x in Z_5,abstract_algebra,"[chattelize,, veigle,, lomentariaceous,, sayette]",3
Find all zeros in the indicated finite field of the given polynomial with coefficients in that field. x^5 + 3x^3 + x^2 + 2x in Z_5,abstract_algebra,"[chattelize,, veigle,, sayette,, lomentariaceous]",3
Find all zeros in the indicated finite field of the given polynomial with coefficients in that field. x^5 + 3x^3 + x^2 + 2x in Z_5,abstract_algebra,"[chattelize,, lomentariaceous,, veigle,, sayette]",3
Find all zeros in the indicated finite field of the given polynomial with coefficients in that field. x^5 + 3x^3 + x^2 + 2x in Z_5,abstract_algebra,"[chattelize,, lomentariaceous,, sayette,, veigle]",3
Find all zeros in the indicated finite field of the given polynomial with coefficients in that field. x^5 + 3x^3 + x^2 + 2x in Z_5,abstract_algebra,"[chattelize,, sayette,, veigle,, lomentariaceous]",3
Find all zeros in the indicated finite field of the given polynomial with coefficients in that field. x^5 + 3x^3 + x^2 + 2x in Z_5,abstract_algebra,"[chattelize,, sayette,, lomentariaceous,, veigle]",3
"Statement 1 | A factor group of a non-Abelian group is non-Abelian. Statement 2 | If K is a normal subgroup of H and H is a normal subgroup of G, then K is a normal subgroup of G.",abstract_algebra,"[japanned,, ramilie,, decempedal,, pulingly]",1
"Statement 1 | A factor group of a non-Abelian group is non-Abelian. Statement 2 | If K is a normal subgroup of H and H is a normal subgroup of G, then K is a normal subgroup of G.",abstract_algebra,"[japanned,, ramilie,, pulingly,, decempedal]",1
"Statement 1 | A factor group of a non-Abelian group is non-Abelian. Statement 2 | If K is a normal subgroup of H and H is a normal subgroup of G, then K is a normal subgroup of G.",abstract_algebra,"[japanned,, decempedal,, ramilie,, pulingly]",1
"Statement 1 | A factor group of a non-Abelian group is non-Abelian. Statement 2 | If K is a normal subgroup of H and H is a normal subgroup of G, then K is a normal subgroup of G.",abstract_algebra,"[japanned,, decempedal,, pulingly,, ramilie]",1
"Statement 1 | A factor group of a non-Abelian group is non-Abelian. Statement 2 | If K is a normal subgroup of H and H is a normal subgroup of G, then K is a normal subgroup of G.",abstract_algebra,"[japanned,, pulingly,, ramilie,, decempedal]",1
"Statement 1 | A factor group of a non-Abelian group is non-Abelian. Statement 2 | If K is a normal subgroup of H and H is a normal subgroup of G, then K is a normal subgroup of G.",abstract_algebra,"[japanned,, pulingly,, decempedal,, ramilie]",1
"Statement 1 | A factor group of a non-Abelian group is non-Abelian. Statement 2 | If K is a normal subgroup of H and H is a normal subgroup of G, then K is a normal subgroup of G.",abstract_algebra,"[ramilie,, japanned,, decempedal,, pulingly]",1
"Statement 1 | A factor group of a non-Abelian group is non-Abelian. Statement 2 | If K is a normal subgroup of H and H is a normal subgroup of G, then K is a normal subgroup of G.",abstract_algebra,"[ramilie,, japanned,, pulingly,, decempedal]",1
"Statement 1 | A factor group of a non-Abelian group is non-Abelian. Statement 2 | If K is a normal subgroup of H and H is a normal subgroup of G, then K is a normal subgroup of G.",abstract_algebra,"[ramilie,, decempedal,, japanned,, pulingly]",1
"Statement 1 | A factor group of a non-Abelian group is non-Abelian. Statement 2 | If K is a normal subgroup of H and H is a normal subgroup of G, then K is a normal subgroup of G.",abstract_algebra,"[ramilie,, decempedal,, pulingly,, japanned]",1
"Statement 1 | A factor group of a non-Abelian group is non-Abelian. Statement 2 | If K is a normal subgroup of H and H is a normal subgroup of G, then K is a normal subgroup of G.",abstract_algebra,"[ramilie,, pulingly,, japanned,, decempedal]",1
"Statement 1 | A factor group of a non-Abelian group is non-Abelian. Statement 2 | If K is a normal subgroup of H and H is a normal subgroup of G, then K is a normal subgroup of G.",abstract_algebra,"[ramilie,, pulingly,, decempedal,, japanned]",1
"Statement 1 | A factor group of a non-Abelian group is non-Abelian. Statement 2 | If K is a normal subgroup of H and H is a normal subgroup of G, then K is a normal subgroup of G.",abstract_algebra,"[decempedal,, japanned,, ramilie,, pulingly]",1
"Statement 1 | A factor group of a non-Abelian group is non-Abelian. Statement 2 | If K is a normal subgroup of H and H is a normal subgroup of G, then K is a normal subgroup of G.",abstract_algebra,"[decempedal,, japanned,, pulingly,, ramilie]",1
"Statement 1 | A factor group of a non-Abelian group is non-Abelian. Statement 2 | If K is a normal subgroup of H and H is a normal subgroup of G, then K is a normal subgroup of G.",abstract_algebra,"[decempedal,, ramilie,, japanned,, pulingly]",1
