,question,Subject,choices,answer_original_temperature:0
0,"求 Q 上给定域扩张 Q(sqrt(2), sqrt(3), sqrt(18)) 的次数。",abstract_algebra,"[斋,, 誓,, 欺,, 储]",0
1,"求 Q 上给定域扩张 Q(sqrt(2), sqrt(3), sqrt(18)) 的次数。",abstract_algebra,"[斋,, 誓,, 储,, 欺]",0
2,"求 Q 上给定域扩张 Q(sqrt(2), sqrt(3), sqrt(18)) 的次数。",abstract_algebra,"[斋,, 欺,, 誓,, 储]",1
3,"求 Q 上给定域扩张 Q(sqrt(2), sqrt(3), sqrt(18)) 的次数。",abstract_algebra,"[斋,, 欺,, 储,, 誓]",1
4,"求 Q 上给定域扩张 Q(sqrt(2), sqrt(3), sqrt(18)) 的次数。",abstract_algebra,"[斋,, 储,, 誓,, 欺]",1
5,"求 Q 上给定域扩张 Q(sqrt(2), sqrt(3), sqrt(18)) 的次数。",abstract_algebra,"[斋,, 储,, 欺,, 誓]",1
6,"求 Q 上给定域扩张 Q(sqrt(2), sqrt(3), sqrt(18)) 的次数。",abstract_algebra,"[誓,, 斋,, 欺,, 储]",1
7,"求 Q 上给定域扩张 Q(sqrt(2), sqrt(3), sqrt(18)) 的次数。",abstract_algebra,"[誓,, 斋,, 储,, 欺]",1
8,"求 Q 上给定域扩张 Q(sqrt(2), sqrt(3), sqrt(18)) 的次数。",abstract_algebra,"[誓,, 欺,, 斋,, 储]",1
9,"求 Q 上给定域扩张 Q(sqrt(2), sqrt(3), sqrt(18)) 的次数。",abstract_algebra,"[誓,, 欺,, 储,, 斋]",1
10,"求 Q 上给定域扩张 Q(sqrt(2), sqrt(3), sqrt(18)) 的次数。",abstract_algebra,"[誓,, 储,, 斋,, 欺]",1
11,"求 Q 上给定域扩张 Q(sqrt(2), sqrt(3), sqrt(18)) 的次数。",abstract_algebra,"[誓,, 储,, 欺,, 斋]",1
12,"求 Q 上给定域扩张 Q(sqrt(2), sqrt(3), sqrt(18)) 的次数。",abstract_algebra,"[欺,, 斋,, 誓,, 储]",1
13,"求 Q 上给定域扩张 Q(sqrt(2), sqrt(3), sqrt(18)) 的次数。",abstract_algebra,"[欺,, 斋,, 储,, 誓]",1
14,"求 Q 上给定域扩张 Q(sqrt(2), sqrt(3), sqrt(18)) 的次数。",abstract_algebra,"[欺,, 誓,, 斋,, 储]",1
15,"求 Q 上给定域扩张 Q(sqrt(2), sqrt(3), sqrt(18)) 的次数。",abstract_algebra,"[欺,, 誓,, 储,, 斋]",1
16,"求 Q 上给定域扩张 Q(sqrt(2), sqrt(3), sqrt(18)) 的次数。",abstract_algebra,"[欺,, 储,, 斋,, 誓]",1
17,"求 Q 上给定域扩张 Q(sqrt(2), sqrt(3), sqrt(18)) 的次数。",abstract_algebra,"[欺,, 储,, 誓,, 斋]",1
18,"求 Q 上给定域扩张 Q(sqrt(2), sqrt(3), sqrt(18)) 的次数。",abstract_algebra,"[储,, 斋,, 誓,, 欺]",0
19,"求 Q 上给定域扩张 Q(sqrt(2), sqrt(3), sqrt(18)) 的次数。",abstract_algebra,"[储,, 斋,, 欺,, 誓]",1
20,"求 Q 上给定域扩张 Q(sqrt(2), sqrt(3), sqrt(18)) 的次数。",abstract_algebra,"[储,, 誓,, 斋,, 欺]",0
21,"求 Q 上给定域扩张 Q(sqrt(2), sqrt(3), sqrt(18)) 的次数。",abstract_algebra,"[储,, 誓,, 欺,, 斋]",0
