question,answer,Subject,choices,answer_original_temperature:0
"Determine el grado dada la extensión de campo Q(�?2), �?3), �?18)) sobre Q.",B,abstract_algebra,"[confuciana,, bobeamos,, desaguisada,, confine]",2
"Determine el grado dada la extensión de campo Q(�?2), �?3), �?18)) sobre Q.",B,abstract_algebra,"[confuciana,, bobeamos,, confine,, desaguisada]",2
"Determine el grado dada la extensión de campo Q(�?2), �?3), �?18)) sobre Q.",B,abstract_algebra,"[confuciana,, desaguisada,, bobeamos,, confine]",0
"Determine el grado dada la extensión de campo Q(�?2), �?3), �?18)) sobre Q.",B,abstract_algebra,"[confuciana,, desaguisada,, confine,, bobeamos]",2
"Determine el grado dada la extensión de campo Q(�?2), �?3), �?18)) sobre Q.",B,abstract_algebra,"[confuciana,, confine,, bobeamos,, desaguisada]",1
"Determine el grado dada la extensión de campo Q(�?2), �?3), �?18)) sobre Q.",B,abstract_algebra,"[confuciana,, confine,, desaguisada,, bobeamos]",1
"Determine el grado dada la extensión de campo Q(�?2), �?3), �?18)) sobre Q.",B,abstract_algebra,"[bobeamos,, confuciana,, desaguisada,, confine]",0
"Determine el grado dada la extensión de campo Q(�?2), �?3), �?18)) sobre Q.",B,abstract_algebra,"[bobeamos,, confuciana,, confine,, desaguisada]",1
"Determine el grado dada la extensión de campo Q(�?2), �?3), �?18)) sobre Q.",B,abstract_algebra,"[bobeamos,, desaguisada,, confuciana,, confine]",1
"Determine el grado dada la extensión de campo Q(�?2), �?3), �?18)) sobre Q.",B,abstract_algebra,"[bobeamos,, desaguisada,, confine,, confuciana]",2
"Determine el grado dada la extensión de campo Q(�?2), �?3), �?18)) sobre Q.",B,abstract_algebra,"[bobeamos,, confine,, confuciana,, desaguisada]",1
"Determine el grado dada la extensión de campo Q(�?2), �?3), �?18)) sobre Q.",B,abstract_algebra,"[bobeamos,, confine,, desaguisada,, confuciana]",1
"Determine el grado dada la extensión de campo Q(�?2), �?3), �?18)) sobre Q.",B,abstract_algebra,"[desaguisada,, confuciana,, bobeamos,, confine]",1
"Determine el grado dada la extensión de campo Q(�?2), �?3), �?18)) sobre Q.",B,abstract_algebra,"[desaguisada,, confuciana,, confine,, bobeamos]",0
"Determine el grado dada la extensión de campo Q(�?2), �?3), �?18)) sobre Q.",B,abstract_algebra,"[desaguisada,, bobeamos,, confuciana,, confine]",2
"Determine el grado dada la extensión de campo Q(�?2), �?3), �?18)) sobre Q.",B,abstract_algebra,"[desaguisada,, bobeamos,, confine,, confuciana]",2
"Determine el grado dada la extensión de campo Q(�?2), �?3), �?18)) sobre Q.",B,abstract_algebra,"[desaguisada,, confine,, confuciana,, bobeamos]",1
"Determine el grado dada la extensión de campo Q(�?2), �?3), �?18)) sobre Q.",B,abstract_algebra,"[desaguisada,, confine,, bobeamos,, confuciana]",1
"Determine el grado dada la extensión de campo Q(�?2), �?3), �?18)) sobre Q.",B,abstract_algebra,"[confine,, confuciana,, bobeamos,, desaguisada]",0
"Determine el grado dada la extensión de campo Q(�?2), �?3), �?18)) sobre Q.",B,abstract_algebra,"[confine,, confuciana,, desaguisada,, bobeamos]",0
"Determine el grado dada la extensión de campo Q(�?2), �?3), �?18)) sobre Q.",B,abstract_algebra,"[confine,, bobeamos,, confuciana,, desaguisada]",0
"Determine el grado dada la extensión de campo Q(�?2), �?3), �?18)) sobre Q.",B,abstract_algebra,"[confine,, bobeamos,, desaguisada,, confuciana]",0
"Determine el grado dada la extensión de campo Q(�?2), �?3), �?18)) sobre Q.",B,abstract_algebra,"[confine,, desaguisada,, confuciana,, bobeamos]",0
"Determine el grado dada la extensión de campo Q(�?2), �?3), �?18)) sobre Q.",B,abstract_algebra,"[confine,, desaguisada,, bobeamos,, confuciana]",0
"Si p = (1, 2, 5, 4)(2, 3) en S_5, determine el índice de <p> en S_5.",C,abstract_algebra,"[anqueemos,, neodarwinismo,, hemolizabas,, acuantiaríamos]",0
"Si p = (1, 2, 5, 4)(2, 3) en S_5, determine el índice de <p> en S_5.",C,abstract_algebra,"[anqueemos,, neodarwinismo,, acuantiaríamos,, hemolizabas]",0
"Si p = (1, 2, 5, 4)(2, 3) en S_5, determine el índice de <p> en S_5.",C,abstract_algebra,"[anqueemos,, hemolizabas,, neodarwinismo,, acuantiaríamos]",3
"Si p = (1, 2, 5, 4)(2, 3) en S_5, determine el índice de <p> en S_5.",C,abstract_algebra,"[anqueemos,, hemolizabas,, acuantiaríamos,, neodarwinismo]",3
"Si p = (1, 2, 5, 4)(2, 3) en S_5, determine el índice de <p> en S_5.",C,abstract_algebra,"[anqueemos,, acuantiaríamos,, neodarwinismo,, hemolizabas]",0
"Si p = (1, 2, 5, 4)(2, 3) en S_5, determine el índice de <p> en S_5.",C,abstract_algebra,"[anqueemos,, acuantiaríamos,, hemolizabas,, neodarwinismo]",3
"Si p = (1, 2, 5, 4)(2, 3) en S_5, determine el índice de <p> en S_5.",C,abstract_algebra,"[neodarwinismo,, anqueemos,, hemolizabas,, acuantiaríamos]",0
"Si p = (1, 2, 5, 4)(2, 3) en S_5, determine el índice de <p> en S_5.",C,abstract_algebra,"[neodarwinismo,, anqueemos,, acuantiaríamos,, hemolizabas]",0
"Si p = (1, 2, 5, 4)(2, 3) en S_5, determine el índice de <p> en S_5.",C,abstract_algebra,"[neodarwinismo,, hemolizabas,, anqueemos,, acuantiaríamos]",0
"Si p = (1, 2, 5, 4)(2, 3) en S_5, determine el índice de <p> en S_5.",C,abstract_algebra,"[neodarwinismo,, hemolizabas,, acuantiaríamos,, anqueemos]",0
"Si p = (1, 2, 5, 4)(2, 3) en S_5, determine el índice de <p> en S_5.",C,abstract_algebra,"[neodarwinismo,, acuantiaríamos,, anqueemos,, hemolizabas]",0
"Si p = (1, 2, 5, 4)(2, 3) en S_5, determine el índice de <p> en S_5.",C,abstract_algebra,"[neodarwinismo,, acuantiaríamos,, hemolizabas,, anqueemos]",0
"Si p = (1, 2, 5, 4)(2, 3) en S_5, determine el índice de <p> en S_5.",C,abstract_algebra,"[hemolizabas,, anqueemos,, neodarwinismo,, acuantiaríamos]",2
"Si p = (1, 2, 5, 4)(2, 3) en S_5, determine el índice de <p> en S_5.",C,abstract_algebra,"[hemolizabas,, anqueemos,, acuantiaríamos,, neodarwinismo]",3
"Si p = (1, 2, 5, 4)(2, 3) en S_5, determine el índice de <p> en S_5.",C,abstract_algebra,"[hemolizabas,, neodarwinismo,, anqueemos,, acuantiaríamos]",0
"Si p = (1, 2, 5, 4)(2, 3) en S_5, determine el índice de <p> en S_5.",C,abstract_algebra,"[hemolizabas,, neodarwinismo,, acuantiaríamos,, anqueemos]",0
"Si p = (1, 2, 5, 4)(2, 3) en S_5, determine el índice de <p> en S_5.",C,abstract_algebra,"[hemolizabas,, acuantiaríamos,, anqueemos,, neodarwinismo]",3
"Si p = (1, 2, 5, 4)(2, 3) en S_5, determine el índice de <p> en S_5.",C,abstract_algebra,"[hemolizabas,, acuantiaríamos,, neodarwinismo,, anqueemos]",2
"Si p = (1, 2, 5, 4)(2, 3) en S_5, determine el índice de <p> en S_5.",C,abstract_algebra,"[acuantiaríamos,, anqueemos,, neodarwinismo,, hemolizabas]",0
"Si p = (1, 2, 5, 4)(2, 3) en S_5, determine el índice de <p> en S_5.",C,abstract_algebra,"[acuantiaríamos,, anqueemos,, hemolizabas,, neodarwinismo]",3
"Si p = (1, 2, 5, 4)(2, 3) en S_5, determine el índice de <p> en S_5.",C,abstract_algebra,"[acuantiaríamos,, neodarwinismo,, anqueemos,, hemolizabas]",0
"Si p = (1, 2, 5, 4)(2, 3) en S_5, determine el índice de <p> en S_5.",C,abstract_algebra,"[acuantiaríamos,, neodarwinismo,, hemolizabas,, anqueemos]",0
"Si p = (1, 2, 5, 4)(2, 3) en S_5, determine el índice de <p> en S_5.",C,abstract_algebra,"[acuantiaríamos,, hemolizabas,, anqueemos,, neodarwinismo]",2
"Si p = (1, 2, 5, 4)(2, 3) en S_5, determine el índice de <p> en S_5.",C,abstract_algebra,"[acuantiaríamos,, hemolizabas,, neodarwinismo,, anqueemos]",2
Determine todos los ceros en el campo finito indicado del polinomio dado con coeficientes en ese campo. x^5 + 3x^3 + x^2 + 2x en Z_5,D,abstract_algebra,"[abarquillaré,, rebelabas,, silenciaren,, pirografiéis]",0
Determine todos los ceros en el campo finito indicado del polinomio dado con coeficientes en ese campo. x^5 + 3x^3 + x^2 + 2x en Z_5,D,abstract_algebra,"[abarquillaré,, rebelabas,, pirografiéis,, silenciaren]",0
Determine todos los ceros en el campo finito indicado del polinomio dado con coeficientes en ese campo. x^5 + 3x^3 + x^2 + 2x en Z_5,D,abstract_algebra,"[abarquillaré,, silenciaren,, rebelabas,, pirografiéis]",0
Determine todos los ceros en el campo finito indicado del polinomio dado con coeficientes en ese campo. x^5 + 3x^3 + x^2 + 2x en Z_5,D,abstract_algebra,"[abarquillaré,, silenciaren,, pirografiéis,, rebelabas]",0
Determine todos los ceros en el campo finito indicado del polinomio dado con coeficientes en ese campo. x^5 + 3x^3 + x^2 + 2x en Z_5,D,abstract_algebra,"[abarquillaré,, pirografiéis,, rebelabas,, silenciaren]",0
Determine todos los ceros en el campo finito indicado del polinomio dado con coeficientes en ese campo. x^5 + 3x^3 + x^2 + 2x en Z_5,D,abstract_algebra,"[abarquillaré,, pirografiéis,, silenciaren,, rebelabas]",0
Determine todos los ceros en el campo finito indicado del polinomio dado con coeficientes en ese campo. x^5 + 3x^3 + x^2 + 2x en Z_5,D,abstract_algebra,"[rebelabas,, abarquillaré,, silenciaren,, pirografiéis]",0
Determine todos los ceros en el campo finito indicado del polinomio dado con coeficientes en ese campo. x^5 + 3x^3 + x^2 + 2x en Z_5,D,abstract_algebra,"[rebelabas,, abarquillaré,, pirografiéis,, silenciaren]",0
Determine todos los ceros en el campo finito indicado del polinomio dado con coeficientes en ese campo. x^5 + 3x^3 + x^2 + 2x en Z_5,D,abstract_algebra,"[rebelabas,, silenciaren,, abarquillaré,, pirografiéis]",0
Determine todos los ceros en el campo finito indicado del polinomio dado con coeficientes en ese campo. x^5 + 3x^3 + x^2 + 2x en Z_5,D,abstract_algebra,"[rebelabas,, silenciaren,, pirografiéis,, abarquillaré]",0
Determine todos los ceros en el campo finito indicado del polinomio dado con coeficientes en ese campo. x^5 + 3x^3 + x^2 + 2x en Z_5,D,abstract_algebra,"[rebelabas,, pirografiéis,, abarquillaré,, silenciaren]",0
Determine todos los ceros en el campo finito indicado del polinomio dado con coeficientes en ese campo. x^5 + 3x^3 + x^2 + 2x en Z_5,D,abstract_algebra,"[rebelabas,, pirografiéis,, silenciaren,, abarquillaré]",0
Determine todos los ceros en el campo finito indicado del polinomio dado con coeficientes en ese campo. x^5 + 3x^3 + x^2 + 2x en Z_5,D,abstract_algebra,"[silenciaren,, abarquillaré,, rebelabas,, pirografiéis]",0
Determine todos los ceros en el campo finito indicado del polinomio dado con coeficientes en ese campo. x^5 + 3x^3 + x^2 + 2x en Z_5,D,abstract_algebra,"[silenciaren,, abarquillaré,, pirografiéis,, rebelabas]",0
Determine todos los ceros en el campo finito indicado del polinomio dado con coeficientes en ese campo. x^5 + 3x^3 + x^2 + 2x en Z_5,D,abstract_algebra,"[silenciaren,, rebelabas,, abarquillaré,, pirografiéis]",0
Determine todos los ceros en el campo finito indicado del polinomio dado con coeficientes en ese campo. x^5 + 3x^3 + x^2 + 2x en Z_5,D,abstract_algebra,"[silenciaren,, rebelabas,, pirografiéis,, abarquillaré]",0
Determine todos los ceros en el campo finito indicado del polinomio dado con coeficientes en ese campo. x^5 + 3x^3 + x^2 + 2x en Z_5,D,abstract_algebra,"[silenciaren,, pirografiéis,, abarquillaré,, rebelabas]",0
Determine todos los ceros en el campo finito indicado del polinomio dado con coeficientes en ese campo. x^5 + 3x^3 + x^2 + 2x en Z_5,D,abstract_algebra,"[silenciaren,, pirografiéis,, rebelabas,, abarquillaré]",0
Determine todos los ceros en el campo finito indicado del polinomio dado con coeficientes en ese campo. x^5 + 3x^3 + x^2 + 2x en Z_5,D,abstract_algebra,"[pirografiéis,, abarquillaré,, rebelabas,, silenciaren]",0
Determine todos los ceros en el campo finito indicado del polinomio dado con coeficientes en ese campo. x^5 + 3x^3 + x^2 + 2x en Z_5,D,abstract_algebra,"[pirografiéis,, abarquillaré,, silenciaren,, rebelabas]",0
Determine todos los ceros en el campo finito indicado del polinomio dado con coeficientes en ese campo. x^5 + 3x^3 + x^2 + 2x en Z_5,D,abstract_algebra,"[pirografiéis,, rebelabas,, abarquillaré,, silenciaren]",0
Determine todos los ceros en el campo finito indicado del polinomio dado con coeficientes en ese campo. x^5 + 3x^3 + x^2 + 2x en Z_5,D,abstract_algebra,"[pirografiéis,, rebelabas,, silenciaren,, abarquillaré]",0
Determine todos los ceros en el campo finito indicado del polinomio dado con coeficientes en ese campo. x^5 + 3x^3 + x^2 + 2x en Z_5,D,abstract_algebra,"[pirografiéis,, silenciaren,, abarquillaré,, rebelabas]",0
Determine todos los ceros en el campo finito indicado del polinomio dado con coeficientes en ese campo. x^5 + 3x^3 + x^2 + 2x en Z_5,D,abstract_algebra,"[pirografiéis,, silenciaren,, rebelabas,, abarquillaré]",0
"Enunciado 1 | Un grupo de factores de un grupo no abeliano es no abeliano. Enunciado 2 | Si K es un subgrupo normal de H, y H es un subgrupo normal de G, entonces K es un subgrupo normal de G.",B,abstract_algebra,"[avalentéis,, consensúas,, inmigrareis,, anoticiará]",0
"Enunciado 1 | Un grupo de factores de un grupo no abeliano es no abeliano. Enunciado 2 | Si K es un subgrupo normal de H, y H es un subgrupo normal de G, entonces K es un subgrupo normal de G.",B,abstract_algebra,"[avalentéis,, consensúas,, anoticiará,, inmigrareis]",0
"Enunciado 1 | Un grupo de factores de un grupo no abeliano es no abeliano. Enunciado 2 | Si K es un subgrupo normal de H, y H es un subgrupo normal de G, entonces K es un subgrupo normal de G.",B,abstract_algebra,"[avalentéis,, inmigrareis,, consensúas,, anoticiará]",0
"Enunciado 1 | Un grupo de factores de un grupo no abeliano es no abeliano. Enunciado 2 | Si K es un subgrupo normal de H, y H es un subgrupo normal de G, entonces K es un subgrupo normal de G.",B,abstract_algebra,"[avalentéis,, inmigrareis,, anoticiará,, consensúas]",0
"Enunciado 1 | Un grupo de factores de un grupo no abeliano es no abeliano. Enunciado 2 | Si K es un subgrupo normal de H, y H es un subgrupo normal de G, entonces K es un subgrupo normal de G.",B,abstract_algebra,"[avalentéis,, anoticiará,, consensúas,, inmigrareis]",0
"Enunciado 1 | Un grupo de factores de un grupo no abeliano es no abeliano. Enunciado 2 | Si K es un subgrupo normal de H, y H es un subgrupo normal de G, entonces K es un subgrupo normal de G.",B,abstract_algebra,"[avalentéis,, anoticiará,, inmigrareis,, consensúas]",0
"Enunciado 1 | Un grupo de factores de un grupo no abeliano es no abeliano. Enunciado 2 | Si K es un subgrupo normal de H, y H es un subgrupo normal de G, entonces K es un subgrupo normal de G.",B,abstract_algebra,"[consensúas,, avalentéis,, inmigrareis,, anoticiará]",0
"Enunciado 1 | Un grupo de factores de un grupo no abeliano es no abeliano. Enunciado 2 | Si K es un subgrupo normal de H, y H es un subgrupo normal de G, entonces K es un subgrupo normal de G.",B,abstract_algebra,"[consensúas,, avalentéis,, anoticiará,, inmigrareis]",0
"Enunciado 1 | Un grupo de factores de un grupo no abeliano es no abeliano. Enunciado 2 | Si K es un subgrupo normal de H, y H es un subgrupo normal de G, entonces K es un subgrupo normal de G.",B,abstract_algebra,"[consensúas,, inmigrareis,, avalentéis,, anoticiará]",0
"Enunciado 1 | Un grupo de factores de un grupo no abeliano es no abeliano. Enunciado 2 | Si K es un subgrupo normal de H, y H es un subgrupo normal de G, entonces K es un subgrupo normal de G.",B,abstract_algebra,"[consensúas,, inmigrareis,, anoticiará,, avalentéis]",0
"Enunciado 1 | Un grupo de factores de un grupo no abeliano es no abeliano. Enunciado 2 | Si K es un subgrupo normal de H, y H es un subgrupo normal de G, entonces K es un subgrupo normal de G.",B,abstract_algebra,"[consensúas,, anoticiará,, avalentéis,, inmigrareis]",0
"Enunciado 1 | Un grupo de factores de un grupo no abeliano es no abeliano. Enunciado 2 | Si K es un subgrupo normal de H, y H es un subgrupo normal de G, entonces K es un subgrupo normal de G.",B,abstract_algebra,"[consensúas,, anoticiará,, inmigrareis,, avalentéis]",0
"Enunciado 1 | Un grupo de factores de un grupo no abeliano es no abeliano. Enunciado 2 | Si K es un subgrupo normal de H, y H es un subgrupo normal de G, entonces K es un subgrupo normal de G.",B,abstract_algebra,"[inmigrareis,, avalentéis,, consensúas,, anoticiará]",1
"Enunciado 1 | Un grupo de factores de un grupo no abeliano es no abeliano. Enunciado 2 | Si K es un subgrupo normal de H, y H es un subgrupo normal de G, entonces K es un subgrupo normal de G.",B,abstract_algebra,"[inmigrareis,, avalentéis,, anoticiará,, consensúas]",1
"Enunciado 1 | Un grupo de factores de un grupo no abeliano es no abeliano. Enunciado 2 | Si K es un subgrupo normal de H, y H es un subgrupo normal de G, entonces K es un subgrupo normal de G.",B,abstract_algebra,"[inmigrareis,, consensúas,, avalentéis,, anoticiará]",2
"Enunciado 1 | Un grupo de factores de un grupo no abeliano es no abeliano. Enunciado 2 | Si K es un subgrupo normal de H, y H es un subgrupo normal de G, entonces K es un subgrupo normal de G.",B,abstract_algebra,"[inmigrareis,, consensúas,, anoticiará,, avalentéis]",1
"Enunciado 1 | Un grupo de factores de un grupo no abeliano es no abeliano. Enunciado 2 | Si K es un subgrupo normal de H, y H es un subgrupo normal de G, entonces K es un subgrupo normal de G.",B,abstract_algebra,"[inmigrareis,, anoticiará,, avalentéis,, consensúas]",1
"Enunciado 1 | Un grupo de factores de un grupo no abeliano es no abeliano. Enunciado 2 | Si K es un subgrupo normal de H, y H es un subgrupo normal de G, entonces K es un subgrupo normal de G.",B,abstract_algebra,"[inmigrareis,, anoticiará,, consensúas,, avalentéis]",1
"Enunciado 1 | Un grupo de factores de un grupo no abeliano es no abeliano. Enunciado 2 | Si K es un subgrupo normal de H, y H es un subgrupo normal de G, entonces K es un subgrupo normal de G.",B,abstract_algebra,"[anoticiará,, avalentéis,, consensúas,, inmigrareis]",0
"Enunciado 1 | Un grupo de factores de un grupo no abeliano es no abeliano. Enunciado 2 | Si K es un subgrupo normal de H, y H es un subgrupo normal de G, entonces K es un subgrupo normal de G.",B,abstract_algebra,"[anoticiará,, avalentéis,, inmigrareis,, consensúas]",0
"Enunciado 1 | Un grupo de factores de un grupo no abeliano es no abeliano. Enunciado 2 | Si K es un subgrupo normal de H, y H es un subgrupo normal de G, entonces K es un subgrupo normal de G.",B,abstract_algebra,"[anoticiará,, consensúas,, avalentéis,, inmigrareis]",0
"Enunciado 1 | Un grupo de factores de un grupo no abeliano es no abeliano. Enunciado 2 | Si K es un subgrupo normal de H, y H es un subgrupo normal de G, entonces K es un subgrupo normal de G.",B,abstract_algebra,"[anoticiará,, consensúas,, inmigrareis,, avalentéis]",0
"Enunciado 1 | Un grupo de factores de un grupo no abeliano es no abeliano. Enunciado 2 | Si K es un subgrupo normal de H, y H es un subgrupo normal de G, entonces K es un subgrupo normal de G.",B,abstract_algebra,"[anoticiará,, inmigrareis,, avalentéis,, consensúas]",0
"Enunciado 1 | Un grupo de factores de un grupo no abeliano es no abeliano. Enunciado 2 | Si K es un subgrupo normal de H, y H es un subgrupo normal de G, entonces K es un subgrupo normal de G.",B,abstract_algebra,"[anoticiará,, inmigrareis,, consensúas,, avalentéis]",0
"Determine el producto dados los polinomios en el anillo de polinomios. f(x) = 4x - 5, g(x) = 2x^2 - 4x + 2 en Z_8[x].",B,abstract_algebra,"[brujiesen,, idiotice,, frunciendo,, achiquitases]",2
"Determine el producto dados los polinomios en el anillo de polinomios. f(x) = 4x - 5, g(x) = 2x^2 - 4x + 2 en Z_8[x].",B,abstract_algebra,"[brujiesen,, idiotice,, achiquitases,, frunciendo]",2
"Determine el producto dados los polinomios en el anillo de polinomios. f(x) = 4x - 5, g(x) = 2x^2 - 4x + 2 en Z_8[x].",B,abstract_algebra,"[brujiesen,, frunciendo,, idiotice,, achiquitases]",1
"Determine el producto dados los polinomios en el anillo de polinomios. f(x) = 4x - 5, g(x) = 2x^2 - 4x + 2 en Z_8[x].",B,abstract_algebra,"[brujiesen,, frunciendo,, achiquitases,, idiotice]",1
"Determine el producto dados los polinomios en el anillo de polinomios. f(x) = 4x - 5, g(x) = 2x^2 - 4x + 2 en Z_8[x].",B,abstract_algebra,"[brujiesen,, achiquitases,, idiotice,, frunciendo]",1
"Determine el producto dados los polinomios en el anillo de polinomios. f(x) = 4x - 5, g(x) = 2x^2 - 4x + 2 en Z_8[x].",B,abstract_algebra,"[brujiesen,, achiquitases,, frunciendo,, idiotice]",1
"Determine el producto dados los polinomios en el anillo de polinomios. f(x) = 4x - 5, g(x) = 2x^2 - 4x + 2 en Z_8[x].",B,abstract_algebra,"[idiotice,, brujiesen,, frunciendo,, achiquitases]",1
"Determine el producto dados los polinomios en el anillo de polinomios. f(x) = 4x - 5, g(x) = 2x^2 - 4x + 2 en Z_8[x].",B,abstract_algebra,"[idiotice,, brujiesen,, achiquitases,, frunciendo]",1
