question,subject,choices,a_ori,b_ori,d_ori,c_ori,b_ft,d_ft,c_ft,a_ft
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[massaging,, amphipodal,, tricarbimide,, impracticably]",0.497037351,0.279504642,0.157177011,0.066280996,0.505882106,0.213328715,0.213328715,0.067460463
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[massaging,, amphipodal,, impracticably,, tricarbimide]",0.695082062,0.164829933,0.123605012,0.016482993,0.604827103,0.143427092,0.191263102,0.060482703
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[massaging,, tricarbimide,, amphipodal,, impracticably]",0.952032612,0.02257626,0.012695564,0.012695564,0.557977794,0.132317387,0.235297285,0.074407535
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[massaging,, tricarbimide,, impracticably,, amphipodal]",0.896359835,0.089635967,0.008963597,0.005040601,0.5348758,0.169142579,0.169142579,0.126839041
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[massaging,, impracticably,, amphipodal,, tricarbimide]",0.881102408,0.066073353,0.015668461,0.037155777,0.505882106,0.213328715,0.213328715,0.067460463
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[massaging,, impracticably,, tricarbimide,, amphipodal]",0.955456006,0.030214172,0.007164911,0.007164911,0.521988175,0.220120588,0.165067154,0.092824082
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[amphipodal,, massaging,, tricarbimide,, impracticably]",0.571373306,0.005713733,0.321306822,0.101606139,0.442862972,0.249040151,0.249040151,0.059056726
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[amphipodal,, massaging,, impracticably,, tricarbimide]",0.700132789,0.009336424,0.166027629,0.124503158,0.434308534,0.244229637,0.244229637,0.077232192
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[amphipodal,, tricarbimide,, massaging,, impracticably]",0.872810933,0.008728109,0.116391198,0.002069761,0.462563409,0.26011852,0.195061372,0.082256699
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[amphipodal,, tricarbimide,, impracticably,, massaging]",0.692026362,0.009228319,0.006920263,0.291825057,0.434308534,0.244229637,0.244229637,0.077232192
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[amphipodal,, impracticably,, massaging,, tricarbimide]",0.559553128,0.41960565,0.017694624,0.003146598,0.544466088,0.229599409,0.129113236,0.096821268
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[amphipodal,, impracticably,, tricarbimide,, massaging]",0.966729201,0.030570657,0.002292476,0.000407666,0.577636343,0.182664634,0.136979151,0.102719872
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[tricarbimide,, massaging,, amphipodal,, impracticably]",0.841852271,0.0266217,0.047340821,0.084185208,0.521988175,0.165067154,0.220120588,0.092824082
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[tricarbimide,, massaging,, impracticably,, amphipodal]",0.670593129,0.05028739,0.067059313,0.212060167,0.521988175,0.165067154,0.220120588,0.092824082
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[tricarbimide,, amphipodal,, massaging,, impracticably]",0.700132782,0.124503162,0.166027636,0.00933642,0.577636321,0.182664643,0.136979158,0.102719878
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[tricarbimide,, amphipodal,, impracticably,, massaging]",0.112168362,0.035470751,0.011216836,0.841144051,0.592867585,0.14059106,0.187481192,0.079060163
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[tricarbimide,, impracticably,, massaging,, amphipodal]",0.052992339,0.942351918,0.002979978,0.001675765,0.59286764,0.187481166,0.140591041,0.079060152
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[tricarbimide,, impracticably,, amphipodal,, massaging]",0.191039621,0.805607217,0.000805607,0.002547554,0.592867585,0.14059106,0.187481192,0.079060163
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[impracticably,, massaging,, amphipodal,, tricarbimide]",0.977400202,0.005496326,0.009774003,0.007329469,0.434308534,0.244229637,0.244229637,0.077232192
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[impracticably,, massaging,, tricarbimide,, amphipodal]",0.998836496,0.000236861,0.000749022,0.000177621,0.450212122,0.253172881,0.189852878,0.106762119
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[impracticably,, amphipodal,, massaging,, tricarbimide]",0.982078218,0.009820781,0.007364547,0.000736455,0.486287416,0.27345951,0.153777583,0.08647549
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[impracticably,, amphipodal,, tricarbimide,, massaging]",0.999519029,0.000316076,0.000133288,3.16E-05,0.506313312,0.213510553,0.160110328,0.120065807
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[impracticably,, tricarbimide,, massaging,, amphipodal]",0.999818888,0.000133328,4.22E-05,5.62E-06,0.521988175,0.220120588,0.165067154,0.092824082
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[impracticably,, tricarbimide,, amphipodal,, massaging]",0.997242315,0.001773375,0.000747826,0.000236483,0.506313312,0.213510553,0.160110328,0.120065807
