question,subject,choices,b_ft,d_ft,c_ft,a_ft
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[massaging,, amphipodal,, tricarbimide,, impracticably]",0.552399674,0.174684115,0.174684115,0.098232097
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[massaging,, amphipodal,, impracticably,, tricarbimide]",0.577636298,0.182664653,0.136979166,0.102719883
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[massaging,, tricarbimide,, amphipodal,, impracticably]",0.506313312,0.120065807,0.213510553,0.160110328
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[massaging,, tricarbimide,, impracticably,, amphipodal]",0.558502429,0.132441798,0.176613976,0.132441798
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[massaging,, impracticably,, amphipodal,, tricarbimide]",0.5348758,0.169142579,0.169142579,0.126839041
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[massaging,, impracticably,, tricarbimide,, amphipodal]",0.558502429,0.132441798,0.176613976,0.132441798
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[amphipodal,, massaging,, tricarbimide,, impracticably]",0.347394823,0.347394823,0.195354465,0.109855889
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[amphipodal,, massaging,, impracticably,, tricarbimide]",0.409683204,0.230381796,0.230381796,0.129553204
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[amphipodal,, tricarbimide,, massaging,, impracticably]",0.36577354,0.27429146,0.154245423,0.205689577
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[amphipodal,, tricarbimide,, impracticably,, massaging]",0.347877287,0.195625775,0.260871163,0.195625775
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[amphipodal,, impracticably,, massaging,, tricarbimide]",0.558502463,0.176613962,0.132441787,0.132441787
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[amphipodal,, impracticably,, tricarbimide,, massaging]",0.614474149,0.109270658,0.081941433,0.19431376
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[tricarbimide,, massaging,, amphipodal,, impracticably]",0.401958587,0.169504531,0.301426417,0.127110466
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[tricarbimide,, massaging,, impracticably,, amphipodal]",0.434732408,0.183325136,0.244467998,0.137474458
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[tricarbimide,, amphipodal,, massaging,, impracticably]",0.52743416,0.222417141,0.12507435,0.12507435
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[tricarbimide,, amphipodal,, impracticably,, massaging]",0.558502446,0.132441792,0.176613969,0.132441792
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[tricarbimide,, impracticably,, massaging,, amphipodal]",0.671588053,0.119427121,0.089557706,0.119427121
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[tricarbimide,, impracticably,, amphipodal,, massaging]",0.65210988,0.115963373,0.115963373,0.115963373
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[impracticably,, massaging,, amphipodal,, tricarbimide]",0.434732408,0.244467998,0.183325136,0.137474458
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[impracticably,, massaging,, tricarbimide,, amphipodal]",0.415673496,0.233750385,0.17528806,0.17528806
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[impracticably,, amphipodal,, massaging,, tricarbimide]",0.401958587,0.301426417,0.127110466,0.169504531
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[impracticably,, amphipodal,, tricarbimide,, massaging]",0.36577354,0.205689577,0.154245423,0.27429146
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[impracticably,, tricarbimide,, massaging,, amphipodal]",0.415156865,0.175070198,0.098449207,0.311323729
The cyclic subgroup of Z_24 generated by 18 has order,abstract_algebra,"[impracticably,, tricarbimide,, amphipodal,, massaging]",0.450212122,0.189852878,0.106762119,0.253172881
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[hypertrophied,, sorbate,, hexachlorocyclohexane,, subunequal]",0.161264248,0.680045632,0.068004569,0.090685551
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[hypertrophied,, sorbate,, subunequal,, hexachlorocyclohexane]",0.233750385,0.415673496,0.17528806,0.17528806
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[hypertrophied,, hexachlorocyclohexane,, sorbate,, subunequal]",0.414553221,0.31087106,0.041455313,0.233120407
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[hypertrophied,, hexachlorocyclohexane,, subunequal,, sorbate]",0.415673496,0.233750385,0.17528806,0.17528806
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[hypertrophied,, subunequal,, sorbate,, hexachlorocyclohexane]",0.337157035,0.449606133,0.106618416,0.106618416
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[hypertrophied,, subunequal,, hexachlorocyclohexane,, sorbate]",0.342291686,0.256682553,0.256682553,0.144343207
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[sorbate,, hypertrophied,, hexachlorocyclohexane,, subunequal]",0.139305608,0.783373003,0.018576701,0.058744688
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[sorbate,, hypertrophied,, subunequal,, hexachlorocyclohexane]",0.292252688,0.292252688,0.123241937,0.292252688
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[sorbate,, hexachlorocyclohexane,, hypertrophied,, subunequal]",0.000747519,0.996832562,5.61E-05,0.002363863
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[sorbate,, hexachlorocyclohexane,, subunequal,, hypertrophied]",0.380450433,0.285297576,0.12030899,0.213943
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[sorbate,, subunequal,, hypertrophied,, hexachlorocyclohexane]",0.19977343,0.631739056,0.084243757,0.084243757
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[sorbate,, subunequal,, hexachlorocyclohexane,, hypertrophied]",0.347394823,0.347394823,0.109855889,0.195354465
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[hexachlorocyclohexane,, hypertrophied,, sorbate,, subunequal]",0.670593129,0.212060167,0.067059313,0.05028739
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[hexachlorocyclohexane,, hypertrophied,, subunequal,, sorbate]",0.680045637,0.068004568,0.161264245,0.090685549
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[hexachlorocyclohexane,, sorbate,, hypertrophied,, subunequal]",0.279504642,0.497037351,0.157177011,0.066280996
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[hexachlorocyclohexane,, sorbate,, subunequal,, hypertrophied]",0.47265536,0.265793642,0.149466749,0.112084249
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[hexachlorocyclohexane,, subunequal,, hypertrophied,, sorbate]",0.552399714,0.174684099,0.174684099,0.098232088
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[hexachlorocyclohexane,, subunequal,, sorbate,, hypertrophied]",0.506313312,0.213510553,0.120065807,0.160110328
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[subunequal,, hypertrophied,, sorbate,, hexachlorocyclohexane]",0.376104731,0.376104731,0.089188487,0.15860205
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[subunequal,, hypertrophied,, hexachlorocyclohexane,, sorbate]",0.455623033,0.25621566,0.144080654,0.144080654
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[subunequal,, sorbate,, hypertrophied,, hexachlorocyclohexane]",0.225352343,0.534394572,0.071262668,0.168990417
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[subunequal,, sorbate,, hexachlorocyclohexane,, hypertrophied]",0.401596188,0.301154656,0.071415023,0.225834133
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[subunequal,, hexachlorocyclohexane,, hypertrophied,, sorbate]",0.50541576,0.159826497,0.050541576,0.284216168
Find the order of the factor group Z_6/<3>.,abstract_algebra,"[subunequal,, hexachlorocyclohexane,, sorbate,, hypertrophied]",0.551598234,0.232607047,0.041364042,0.174430677
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[liferenter,, unoxidative,, alunogen,, surges]",0.127110466,0.169504531,0.401958587,0.301426417
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[liferenter,, unoxidative,, surges,, alunogen]",0.107637357,0.143536722,0.143536722,0.605289199
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[liferenter,, alunogen,, unoxidative,, surges]",0.301547442,0.301547442,0.095357674,0.301547442
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[liferenter,, alunogen,, surges,, unoxidative]",0.392714494,0.165606329,0.220839589,0.220839589
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[liferenter,, surges,, unoxidative,, alunogen]",0.347394823,0.195354465,0.109855889,0.347394823
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[liferenter,, surges,, alunogen,, unoxidative]",0.289167434,0.162610798,0.162610798,0.38561097
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[unoxidative,, liferenter,, alunogen,, surges]",0.326570095,0.18364386,0.244893023,0.244893023
Statement 1 | A permutation that is a product of m even permutations and n odd permutations is an even permutation if and only if n is even. Statement 2 | Every group is isomorphic to a group of permutations.,abstract_algebra,"[unoxidative,, liferenter,, surges,, alunogen]",0.335116395,0.141317412,0.188449798,0.335116395
